Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Occurrence and Extent of Boscalid Resistance in Populations of Alternaria alternata from California Pistachio Orchards		
Seed-Associated Fungal Diversity and the Molecular Identification of Fusarium with Potential Threat to Ginseng (Panax ginseng) in China		
Calonectria pentaseptata Causes Severe Leaf Disease of Cultivated Eucalyptus on the Leizhou Peninsula of Southern China		
Development of a Specific Polymerase Chain Reaction System for the Detection of Rice Orange Leaf Phytoplasma Detection		
Genome Resource for Barley Leaf Stripe Pathogen Pyrenophora graminea		
Susceptibility of Garden Trees and Shrubs to Armillaria Root Rot		
Virulence of Leaf Rust Physiological Races in Iran From 2010 to 2017		
Multiyear Regional Evaluation of Foliar Fungicide Applications for Cotton Target Spot Management in the Southeastern United States		
Screening Tall Fescue for Resistance to Rhizoctonia solani and Rhizoctonia zeae Using Digital Image Analysis		
The Atoxigenic Biocontrol Product Aflasafe SN01 Is a Valuable Tool to Mitigate Aflatoxin Contamination of Both Maize and Groundnut Cultivated in Senegal		
Fusarium Crown Rot of Winter Wheat Influenced by Resource Competition Near a Tree Windbreak		
Potato Tuber Necrosis Induced by Alfalfa Mosaic Virus Depends on Potato Cultivar Rather Than on Virus Strain		
Effect of Pyrisoxazole on Colletotrichum scovillei Infection and Anthracnose on Chili		
Pathotype Grouping of Cercospora sojina Isolates on Soybean and Sensitivity to QoI Fungicides		
Evaluating the Sensitivities and Efficacies of Fungicides with Different Modes of Action Against Phomopsis asparagi		
An Improved Method for the Identification of Soybean Resistance to Phytophthora sojae Applied to Germplasm Resources from the Huanghuaihai and Dongbei Regions of China		
Etiology of Branch Dieback and Shoot Blight of English Walnut Caused by Botryosphaeriaceae and Diaporthe Species in Southern Spain		
Enhancing PCR Capacity To Detect 'Candidatus Liberibacter asiaticus' Utilizing Whole Genome Sequence Information		
Assessing Rate-Reducing Foliar Resistance to Anthracnose Crown Rot and Fruit Rot in Strawberry		
Diversity and Distribution of Rice Blast (Pyricularia oryzae Cavara) Races in Vietnam		
Distribution of the Infection Time of Ascospores of Venturia inaequalis		
Bacteriome and Mycobiome in Nicotiana tabacum Fields Affected by Black Shank Disease		
Physiological Response of Cape Gooseberry Seedlings to Three Biological Control Agents Under Fusarium oxysporum f. sp. physali Infection		
Suppression of Canola (Brassica napus) Resistance by Virulent Isolates of Plasmodiophora brassicae (Clubroot) During Primary Infection		
Characterization of Natural Isolates of Bipolaris maydis Associated with Mating Types, Genetic Diversity, and Pathogenicity in Fujian Province, China		
Evaluating Quantitative Trait Locus Resistance in Tomato to Multiple Xanthomonas spp		
Identification and Characterization of Colletotrichum Species Associated with Anthracnose Disease of Camellia oleifera in China		
Limonene, a Chemical Compound Related to the Resistance of Eucalyptus Species to Austropuccinia psidii		
Yield response to orange cane blotch of blackberry grown in the Georgia coastal plain		
Genome resource of barley bacterial blight and leaf streak pathogen xanthomonas translucens pv. Translucens strain UPB886		
Transmission characteristics of wheat yellow striate virus by its leafhopper vector psammotettix alienus		
Infection of blueberry cultivar 'Emerald' with a California pierce's disease strain of xylella fastidiosa and acquisition by glassy-winged sharpshooter		
Comparing Stagonosporopsis spp. Fungicide resistance profiles in Florida and East China cucurbit production systems		
Measurements of aerial spore load by qPCR facilitates lettuce downy mildew risk advisement		
Rapid Detection of Xanthomonas citri pv. Fuscans and Xanthomonas phaseoli pv. Phaseoli in Common Bean by Loop-Mediated Isothermal Amplification		
Scion substitution: A new strategy to control citrus variegated chlorosis disease		
Baseline sensitivity and action mechanism of propamidine against alternaria brassicicola, the causal agent of dark leaf spot on cabbage		
Floral colonization dynamics and specificity of aureobasidium pullulans strains used to suppress fire blight of pome fruit		
Soybean fungal Endophytes alternaria and Diaporthe spp. Are differentially impacted by fungicide application		
Botryosphaeriaceae fungi as causal agents of dieback and corky bark in Rambutan and Longan		
Probe-based multiplex real-time PCR as a diagnostic tool to distinguish distinct fungal symbionts associated with euwallacea kuroshio and euwallacea whitfordiodendrus in California		
Effects of the age-related resistance to potato virus y in potato on the systemic spread of the virus, incidence of the potato tuber necrotic ringspot disease, tuber yield, and translocation rates into progeny tubers		
Modification of rhizosphere bacterial community structure and functional potentials to control pseudostellaria heterophylla replant disease		
Determining mancozeb deposition benchmark values on apple leaves for the management of venturia inaequalis		
Distribution and pathogenicity of Colletotrichum species associated with mango anthracnose in Mexico		
Identification and molecular mapping of a gummy stem blight resistance gene in wild watermelon (Citrullus amarus) Germplasm PI 189225		
Diagnostic qPCR assay to detect fusarium brasiliense, a causal agent of soybean sudden death syndrome and root rot of dry bean		
Incidence of root-knot nematode (Meloidogyne graminicola) and resulting crop losses in paddy rice in Northern India		
Most plasmodiophora brassicae populations in single canola root galls from Alberta fields are mixtures of multiple strains		
Occurrence and diversity of black-foot disease fungi in symptomless grapevine nursery stock in Spain		
Interactions between solanaceous crops and 'candidatus liberibacter solanacearum' haplotypes in relation to infection and psyllid survival on the hosts		
Predicting overwintering of wheat stripe rust in central and northwestern China		
ToxA-TSN1 interaction for spot blotch susceptibility in Indian wheat: An example of inverse gene-for-gene relationship		
Infection of the native California grass, bromus carinatus, by fusarium circinatum, the cause of pitch canker in Pines		
Development of novel wheat-rye chromosome 4R translocations and assignment of their powdery mildew resistance		
Temperature influence on pseudothecia development stages of venturia inaequalis in the western cape of South Africa		
Is the phenomenon of mefenoxam-acquired resistance in phytophthora infestans universal?		
Novel sources of wheat head blast resistance in modern breeding lines and wheat wild relatives		
A genomic approach to develop a new qPCR test enabling detection of the pyricularia oryzae lineage causing wheat blast		
Prevalence of acidovorax citrulli in commercial cucurbit seedlots during 2010-2018 in China		
Pathotypes Detected Among Populations of Pratylenchus neglectus Collected From Montana		
Evaluation of Selected Nonfumigant Nematicides on Increasing Inoculation Densities of Meloidogyne incognita on Cucumber		
